name,price,status,shipping,free_returns,items_sold
If You Give a Dog a Donut - Paperback By Laura  Numeroff - VERY GOOD,423,Pre-Owned,0,True,284
"Focuspet Dog Cone Collar, Recovery Soft Cone Collar for After Surgery Xtra Large",1300,Brand New,0,False,84
100 Used Tennis Balls - LOW COST DOG BALLS -  FREE SHIPPING,4295,Pre-Owned,0,True,1008
Dog Training Collar 3000FT Remote Rechargeable Shock PET Waterproof Trainer,29985998,Brand New,0,True,195
Dog Man: Brawl of the Wild: A Graphic Novel (Dog Man #6): From the Creator of...,464,Pre-Owned,0,True,243
Premium Collagen for Dogs – Liquid Collagen for Dogs with Hyaluronic Acid - 4 oz,1895,Brand New,0,False,245
USA SELLER! Dog Man Party Supplies Birthday Decorations 52 Pcs Set Fast Ship USA,3299,Brand New,0,False,14
Robot Puppy My Realistic Robot Puppy Electronic Interactive Dog-Walking Barking,1888,Brand New,0,False,25
"Thundershirt Dog Anxiety Treatment HGM-T01, MED. Heather Gray UPC: 854880001165",1444,Brand New,599,False,111
LUXURY DOG COLLAR n LEASH SET,1598,Brand New,0,False,
"All-Absorb A27 Male Dog Wrap, 50 Count, Extra Small",1799,Brand New,0,False,
"150-23x36"" XL CHEAP Pishie Pads Economy Lightweight Puppy Dog Pee Pads/Mattress",3450,Brand New,0,False,1474
1x Pet Collar Prevention Collar for Small Large Dog Cat New USA,1599,Brand New,0,False,
100 LOW COST DOGGIE BALLS -  USED TENNIS BALLS - FREE SHIPPING - SAVE 10%,4295,Pre-Owned,0,True,2382
"Cigarette Dog Toy, Squeaky Cigar Toys, Funny Interactive Dog Toy Squeaky Cigar",989,Brand New,0,False,
Yeti Boomer 8 Dog Bowl 2Pack,6000,Pre-Owned,500,False,20
"Squeaky Plush Dog Toy Pack for Puppy, Small & medium Stuffed Puppy 12 Chew Toys",1595,Brand New,0,True,54
DOG PET WASTE POOP BAGS UNSCENTED REFILL ROLLS Pick Up Your Color & Quantity,109919999,Brand New,0,True,
Service Dog Vest Mesh with Removable Reflective Custom Patches 12 Colors ,9992699,Brand New,0,True,
CUSTOM ENGRAVED PERSONALIZED PET TAG ID DOG CAT NAME TAGS DOUBLE SIDE TWO SIZES,599659,Brand New,299,False,
Marines The Few The Proud Dog Collar 1 inch Width Adjustable,8951995,Brand New,450,False,
Real Debossed Military Dog Tags Dogtags Custom Personalized Made In USA USA USA,2495,Brand New,0,False,286
Personalized Dog Collar Cute Bow Tie Custom Pet Name Engraved Soft Leather XS-XL,10691489,Brand New,0,False,
Dog Man: A Tale of Two Kitties: A Graphic Novel (Dog Man #3): From the...,490,Pre-Owned,0,True,363
"Himalayan Mixed Dog Chew, 9.9oz, 3-Piece Exp 02/29",1395,Brand New,0,True,143
"Arm & Hammer Complete Care Enzymatic Dog Toothpaste, 6.2 oz (Pack of 1)",795,Brand New,0,False,
Dog Man: For Whom the Ball Rolls: A Graphic Novel (Dog Man #7): From the...,493,Pre-Owned,0,True,188
Reflective Nylon Dog Collar Custom Personalized Pet Name ID Tag Adjustable XS-XL,8591559,Brand New,0,False,
Pet Honesty Dog Breath Freshener Dental Powder Herbal Blend Plaque Off Lot Of 2,2800,Brand New,0,False,
"KONG Max HD Ultra Durable Neoprene Padded Dog Collar (Large, Green) BRAND NEW",2199,Brand New,0,False,
Snap-on Tools NEW 2 Piece WHITE & BLACK Dog Leash & Collar Set,5000,Brand New,0,True,15
Soft Leather Personalized Dog Collar ID Tag Engraved for Small Medium Large Dogs,9992699,Brand New,0,False,178
"2"" Wide Spiked Studded Leather Large Dog Collar for German Shepherd Pitbull S-XL",17892289,Brand New,0,False,
POOPING DOG BROOCH pewter labrador lab pin weird novelty vet pet poop jewelry O4,1099,New (Other),479,True,
"Beef Dog Treats Esophagus Gullet (6"" - 25 Count) 100% Natural Healthy ",3099,Brand New,0,False,644
Large Pig chews for Dog - 100% Natural Pork Dog Treats (30 Count),5499,Brand New,0,False,23
Shop on eBay,2000,Brand New,0,False,
Shop on eBay,2000,Brand New,0,False,
"Anti Barking Devices, Ultrasonic Dog Barking Control Devices with 3 Modes",1399,Brand New,0,True,238
